"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"beta0[1]",-4.03542182163567,-4.01765,-4.00847308901411,1489,0.95,-4.97763,-3.13912,NA,NA,NA,NA,NA,NA,NA
"beta0[2]",-1.3452224574853,-1.33261,-1.01881202099809,819.9,0.95,-3.7397,1.13785,NA,NA,NA,NA,NA,NA,NA
"beta0[3]",-1.02178886722655,-1.01593,-1.01901028770309,3391.1,0.95,-1.48567,-0.561604,NA,NA,NA,NA,NA,NA,NA
"beta[1,1]",-4.77409865426915,-4.74407,-4.70146611860402,1485.9,0.95,-5.80246,-3.75806,NA,NA,NA,NA,NA,NA,NA
"beta[2,1]",1.5745159334839,1.56469,1.4675856336804,839.3,0.95,-0.242968,3.3732,NA,NA,NA,NA,NA,NA,NA
"beta[3,1]",3.01882540291942,2.99314,2.90637507299084,2803.1,0.95,2.29957,3.80303,NA,NA,NA,NA,NA,NA,NA
"beta[1,2]",0.350712081490502,0.347156,0.328482753235053,4764.4,0.95,-0.0150422,0.744364,NA,NA,NA,NA,NA,NA,NA
"beta[2,2]",-5.34687871225755,-5.23611,-4.9211597751746,2172.5,0.95,-7.67739,-3.19337,NA,NA,NA,NA,NA,NA,NA
"beta[3,2]",3.1181224335133,3.10267,3.05638144056014,2849.7,0.95,2.42177,3.8157,NA,NA,NA,NA,NA,NA,NA
"zbeta0[1]",-4.03542182163567,-4.01765,-4.00847308901411,1489,0.95,-4.97763,-3.13912,NA,NA,NA,NA,NA,NA,NA
"zbeta0[2]",-1.3452224574853,-1.33261,-1.01881202099809,819.9,0.95,-3.7397,1.13785,NA,NA,NA,NA,NA,NA,NA
"zbeta0[3]",-1.02178886722655,-1.01593,-1.01901028770309,3391.1,0.95,-1.48567,-0.561604,NA,NA,NA,NA,NA,NA,NA
"zbeta[1,1]",-4.77409865426915,-4.74407,-4.70146611860402,1485.9,0.95,-5.80246,-3.75806,NA,NA,NA,NA,NA,NA,NA
"zbeta[2,1]",1.5745159334839,1.56469,1.4675856336804,839.3,0.95,-0.242968,3.3732,NA,NA,NA,NA,NA,NA,NA
"zbeta[3,1]",3.01882540291942,2.99314,2.90637507299084,2803.1,0.95,2.29957,3.80303,NA,NA,NA,NA,NA,NA,NA
"zbeta[1,2]",0.350712081490502,0.347156,0.328482753235053,4764.4,0.95,-0.0150422,0.744364,NA,NA,NA,NA,NA,NA,NA
"zbeta[2,2]",-5.34687871225755,-5.23611,-4.9211597751746,2172.5,0.95,-7.67739,-3.19337,NA,NA,NA,NA,NA,NA,NA
"zbeta[3,2]",3.1181224335133,3.10267,3.05638144056014,2849.7,0.95,2.42177,3.8157,NA,NA,NA,NA,NA,NA,NA
