"yOrig","ybin","y","thresh1","thresh2","thresh3"
82.9687985781299,0,82.9687985781299,94,100,106
125.739309356953,3,NA,94,100,106
130.597613942686,3,NA,94,100,106
123.302879915279,3,NA,94,100,106
103.276148213325,2,103.276148213325,94,100,106
106.250283211571,3,NA,94,100,106
95.6057594192295,1,NA,94,100,106
114.448811366158,3,NA,94,100,106
123.439550661647,3,NA,94,100,106
79.3578700549191,0,79.3578700549191,94,100,106
95.9966176833429,1,NA,94,100,106
82.1842506819851,0,82.1842506819851,94,100,106
89.9472490739819,0,89.9472490739819,94,100,106
99.869145112731,1,NA,94,100,106
75.4296373690887,0,75.4296373690887,94,100,106
78.4149009833212,0,78.4149009833212,94,100,106
109.718742095095,3,NA,94,100,106
96.2444873877277,1,NA,94,100,106
132.49893873712,3,NA,94,100,106
104.397189438048,2,104.397189438048,94,100,106
89.2252256282358,0,89.2252256282358,94,100,106
106.124364431051,3,NA,94,100,106
77.6088429349986,0,77.6088429349986,94,100,106
80.7136739768082,0,80.7136739768082,94,100,106
91.7785174563361,0,91.7785174563361,94,100,106
100.298658189459,2,100.298658189459,94,100,106
96.5185692876771,1,NA,94,100,106
83.6131815536277,0,83.6131815536277,94,100,106
105.135420199734,2,105.135420199734,94,100,106
106.19758694689,3,NA,94,100,106
140.768318666507,3,NA,94,100,106
133.13644789986,3,NA,94,100,106
107.922213277274,3,NA,94,100,106
92.468961713859,0,92.468961713859,94,100,106
128.890862262842,3,NA,94,100,106
100.098043967267,2,100.098043967267,94,100,106
77.149952736896,0,77.149952736896,94,100,106
94.2517850434406,1,NA,94,100,106
91.9804508866791,0,91.9804508866791,94,100,106
122.604720908181,3,NA,94,100,106
99.8679197436876,1,NA,94,100,106
87.4087728503546,0,87.4087728503546,94,100,106
78.1039841120756,0,78.1039841120756,94,100,106
97.0628769076059,1,NA,94,100,106
90.318315004073,0,90.318315004073,94,100,106
109.795531643624,3,NA,94,100,106
90.9679098118866,0,90.9679098118866,94,100,106
118.333400780992,3,NA,94,100,106
100.858272045055,2,100.858272045055,94,100,106
87.8277798456433,0,87.8277798456433,94,100,106
120.382206776923,3,NA,94,100,106
89.5566098224301,0,89.5566098224301,94,100,106
90.7806145777214,0,90.7806145777214,94,100,106
79.4754693362285,0,79.4754693362285,94,100,106
116.688017729648,3,NA,94,100,106
117.334515265139,3,NA,94,100,106
90.5367539499503,0,90.5367539499503,94,100,106
96.4372667847913,1,NA,94,100,106
61.0319725326817,0,61.0319725326817,94,100,106
93.1954843745326,0,93.1954843745326,94,100,106
90.7062937245214,0,90.7062937245214,94,100,106
97.096967554694,1,NA,94,100,106
88.0179805462338,0,88.0179805462338,94,100,106
118.287776280832,3,NA,94,100,106
106.020709236243,3,NA,94,100,106
132.375241806738,3,NA,94,100,106
91.252421447901,0,91.252421447901,94,100,106
98.5588059761151,1,NA,94,100,106
89.321711123241,0,89.321711123241,94,100,106
107.277358404751,3,NA,94,100,106
109.994280701018,3,NA,94,100,106
102.031437125205,2,102.031437125205,94,100,106
105.109699054333,2,105.109699054333,94,100,106
107.526048163924,3,NA,94,100,106
106.540847731984,3,NA,94,100,106
99.2084675417018,1,NA,94,100,106
76.0129121341914,0,76.0129121341914,94,100,106
94.5475869054944,1,NA,94,100,106
86.0062395166582,0,86.0062395166582,94,100,106
114.604781601756,3,NA,94,100,106
84.054648102529,0,84.054648102529,94,100,106
87.5350848047904,0,87.5350848047904,94,100,106
86.1540457734209,0,86.1540457734209,94,100,106
91.0458227129677,0,91.0458227129677,94,100,106
80.8293210295439,0,80.8293210295439,94,100,106
